California, Precipitation, January-December
Units: Inches
Base Period: 1978-1998
Missing: -99
Date,Value,Anomaly
197812,28.86,4.42
197912,24.63,0.19
198012,24.12,-0.32
198112,26.24,1.80
198212,31.99,7.55
198312,42.46,18.02
198412,18.32,-6.12
198512,14.70,-9.74
198612,24.25,-0.19
198712,19.70,-4.74
198812,17.10,-7.34
198912,14.95,-9.49
199012,13.99,-10.45
199112,19.79,-4.65
199212,23.23,-1.21
199312,26.70,2.26
199412,17.54,-6.90
199512,35.20,10.76
199612,32.51,8.07
199712,20.60,-3.84
199812,36.41,11.97
199912,17.63,-6.81
200012,21.43,-3.01
200112,23.02,-1.42
200212,18.68,-5.76
200312,21.63,-2.81
200412,21.76,-2.68
200512,30.10,5.66
200612,23.61,-0.83
200712,13.83,-10.61
200812,17.85,-6.59
200912,17.05,-7.39
201012,31.18,6.74
201112,18.79,-5.65
201212,23.45,-0.99
201312,7.93,-16.51
201412,19.90,-4.54
201512,15.04,-9.40
201612,25.73,1.29
201712,28.17,3.73
201812,18.09,-6.35
201912,29.13,4.69
