Region,URL,Topics
Global,https://csssi.yale.edu/,Yale CSSSI
US,https://climatecommunication.yale.edu/,Yale Program on Climate Change Communication
Global,https://yceo.yale.edu/image-sources,Yale Center for Earth Observation
Multiple,https://www.kaggle.com/datasets,Multiple
Multiple,https://data.fivethirtyeight.com/,Multiple
Multpile,https://www.kdnuggets.com/datasets/index.html,Multiple
US,https://data.census.gov/cedsci/,Census surveys
Global,https://osf.io/,Multiple
Global,https://data.worldbank.org/,Development
Global,https://data.humdata.org/,Humanitarian
US,https://www.epa.gov/ejscreen/download-ejscreen-data,Environmental justice
US,https://www.data.gov/,"Agriculture, Climate, Consumer, Ecosystems, Education, Energy, Finance, Health, Local Government, Manufacturing, Maritime, Ocean, Public Safety, Science & Research"
US,https://simplyanalytics.com/,"Demography, Business, Health, Marketing"
World Cities,http://www.worldclimate.com/,"Temperature, Rainfall, Sea-level"
Global,https://climatedataguide.ucar.edu/climate-data,Geospatial data resources
US,https://www.ncdc.noaa.gov/cdo-web/datatools,"Climate, Weather"
Global,http://chelsa-climate.org/downloads/,"Climate predictions, timeseries"
US,https://www.epa.gov/outdoor-air-quality-data,Air quality
US,https://www.americancommunities.org/methodology/,Communities
Europe,https://www.eea.europa.eu/data-and-maps,"Air pollution, Biodiversity – Ecosystems, Chemicals, Climate change adaptation, Climate change mitigation, Energy, Environment and health, Industry, Land use, Marine, Policy instruments, Resource efficiency and waste, Soil, Specific regions, Sustainability transitions, Transport, Water and marine environment"
OECD,https://data.oecd.org/,"Agriculture, Development, Economy, Education, Energy, Environment, Finance, Government, Health, Innovation and Technology, Jobs, Society"
Global,https://ourworldindata.org/,"Health, Demographic Change, Food and Agriculture, Education and Knowledge, Energy and Environment, Innovation and Technological Change, Poverty and Economic Development, Living conditions, Community and Wellbeing, Human rights and Democracy, Violence and War"
Global,http://aqicn.org/data-platform/register/,Air quality
Global,https://globalfishingwatch.org/datasets-and-code/,Fishing
US,https://tidesandcurrents.noaa.gov/products.html,Sea water levels
Coastal,https://data.unep-wcmc.org/,"Ecosystem, Biodiversity"
Global,https://www.gbif.org/,Biodiversity occurences
US,https://www.waterqualitydata.us/,Water quality
US,https://waterdata.usgs.gov/nwis/qw,Water quality
US,https://hifld-geoplatform.opendata.arcgis.com/,"Agriculture, Borders, Boundaries, Chemicals, Commercial, Communications, Education, Emergency Services, Energy, Finance, Food Industry, Geonames, Government, Law Enforcement, Mail Shipping, Mining, National Flood Hazard, Natural Hazards, Public Health, Public Venues, Transportation Air, Transportation Ground, Transportation Water, Water Supply"
Global,https://data.globalforestwatch.org/,"Forest Change, Land Use, Conservation, People, Forest Cover"
Global,https://resourcewatch.org/data/explore,"Food, Climate, Energy, Water, Forests, Ocean, Society, Cities"
